work_key,author,title,group,code
1|villon-francois|basne,"VILLON, Francois",Básně,forma,
1|villon-francois|basne,"VILLON, Francois",Básně,podobdobi,
1|anon|vita-caroli,,"Vita Caroli",narodni,
1|anon|vita-caroli,,"Vita Caroli",forma,
1|anon|vita-caroli,,"Vita Caroli",podobdobi,
1|voltaire|candide,VOLTAIRE,Candide,narodni,
1|voltaire|candide,VOLTAIRE,Candide,forma,
1|voltaire|candide,VOLTAIRE,Candide,podobdobi,
1|de-voragine-jacobus|legenda-aurea,"de VORAGINE, Jacobus","Legenda aurea",narodni,
1|de-voragine-jacobus|legenda-aurea,"de VORAGINE, Jacobus","Legenda aurea",forma,
1|de-voragine-jacobus|legenda-aurea,"de VORAGINE, Jacobus","Legenda aurea",podobdobi,
2|austenova-jane|pycha-a-predsudek,"AUSTENOVÁ, Jane","Pýcha a předsudek",forma,
2|balzac-honore-de|otec-goriot,"BALZAC, Honoré de","Otec Goriot",forma,
2|baudelaire-charles|kvety-zla,"BAUDELAIRE, Charles","Květy zla",forma,
2|bronteova-emily|na-vetrne-hurce,"BRONTËOVÁ, Emily","Na Větrné hůrce",forma,
2|coleridge-samuel|pisen-o-starem-namornikovi,"COLERIDGE, Samuel","Píseň o starém námořníkovi",forma,
2|cechov-anton-pavlovic|visnovy-sad,"ČECHOV, Anton Pavlovič","Višňový sad",forma,
2|cechov-anton-pavlovic|racek,"ČECHOV, Anton Pavlovič",Racek,forma,
2|cechov-anton-pavlovic|tri-sestry,"ČECHOV, Anton Pavlovič","Tři sestry",forma,
2|dickens-charles|nadejne-vyhlidky,"DICKENS, Charles","Nadějné vyhlídky",forma,
2|dickens-charles|david-copperfield-dickinsonova-emily-a-basnikem-byt-nechci,"DICKENS, Charles","David Copperfield DICKINSONOVÁ, Emily: A básníkem být nechci",forma,
2|dostojevskij-fjodor-m|zlocin-a-trest,"DOSTOJEVSKIJ, Fjodor M.","Zločin a trest",forma,
2|dostojevskij-fjodor-m|bratri-karamazovi,"DOSTOJEVSKIJ, Fjodor M.","Bratři Karamazovi",forma,
2|dostojevskij-fjodor-m|idiot,"DOSTOJEVSKIJ, Fjodor M.",Idiot,forma,
2|dostojevskij-fjodor-m|besi,"DOSTOJEVSKIJ, Fjodor M.",Běsi,forma,
2|flaubert-gustave|pani-bovaryova,"FLAUBERT, Gustave","Paní Bovaryová",forma,
2|goethe-johann-wolfgang|utrpeni-mladeho-werthera,"GOETHE, Johann Wolfgang","Utrpení mladého Werthera",forma,
2|gogol-nikolaj-vasiljevic|revizor,"GOGOL, Nikolaj Vasiljevič",Revizor,forma,
