work_key,author,title,group,code
5|antosova-svatava|diktator-pise-basen,"ANTOŠOVÁ, Svatava",Diktátor píše báseň,special,ceska_poezie_po_1950
5|borkovec-petr|polni-prace,"BORKOVEC, Petr",Polní práce,special,ceska_poezie_po_1950
5|borkovec-petr|herbar-k-cemusi-horsimu,"BORKOVEC, Petr",Herbář k čemusi horšímu,special,ceska_poezie_po_1950
5|dezinsky-milan|slovnik-noci,"DĚŽINSKÝ, Milan",Slovník noci,special,ceska_poezie_po_1950
5|dolezal-milos|jana-bude-brzy-sbirat-lipovy-kvet,"DOLEŽAL, Miloš",Jana bude brzy sbírat lipový květ,special,ceska_poezie_po_1950
5|fischerova-sylva|svetovy-orloj,"FISCHEROVÁ, Sylva",Světový orloj,special,ceska_poezie_po_1950
5|grogrova-bohumila|rukopis,"GRÖGROVÁ, Bohumila",Rukopis,special,ceska_poezie_po_1950
5|hejda-zbynek|valse-melancolique,"HEJDA, Zbyněk",Valse melancolique,special,ceska_poezie_po_1950
5|holan-vladimir|bolest,"HOLAN, Vladimír",Bolest,special,ceska_poezie_po_1950
5|holan-vladimir|noc-s-hamletem,"HOLAN, Vladimír",Noc s Hamletem,special,ceska_poezie_po_1950
5|hrabe-vaclav|blues-pro-blaznivou-holku,"HRABĚ, Václav",Blues pro bláznivou holku,special,ceska_poezie_po_1950
5|hruska-petr|darmata,"HRUŠKA, Petr",Darmata,special,ceska_poezie_po_1950
5|hruska-petr|spatril-jsem-svou-tvar,"HRUŠKA, Petr",Spatřil jsem svou tvář,special,ceska_poezie_po_1950
5|jirous-ivan-martin|magorovy-labuti-pisne,"JIROUS, Ivan Martin",Magorovy labutí písně,special,ceska_poezie_po_1950
5|jirous-ivan-martin|okuje,"JIROUS, Ivan Martin",Okuje,special,ceska_poezie_po_1950
5|kolar-jiri|prometheova-jatra,"KOLÁŘ, Jiří",Prométheova játra,special,ceska_poezie_po_1950
5|kolmacka-pavel|more,"KOLMAČKA, Pavel",Moře,special,ceska_poezie_po_1950
5|krchovsky-jiri|basne,"KRCHOVSKÝ, Jiří",Básně,special,ceska_poezie_po_1950
5|novotny-pavel|dedek,"NOVOTNÝ, Pavel",Dědek,special,ceska_poezie_po_1950
5|seifert-jaroslav|morovy-sloup,"SEIFERT, Jaroslav",Morový sloup,special,ceska_poezie_po_1950
5|skacel-jan|co-zbylo-z-andela,"SKÁCEL, Jan",Co zbylo z anděla,special,ceska_poezie_po_1950
5|skacel-jan|kdo-pije-potme-vino,"SKÁCEL, Jan",Kdo pije potmě víno,special,ceska_poezie_po_1950
5|stancakova-alzbeta|cacak,"STANČÁKOVÁ, Alžběta",Čačak,special,ceska_poezie_po_1950
5|siktanc-karel|tanec-smrti,"ŠIKTANC, Karel",Tanec smrti,special,ceska_poezie_po_1950
5|topol-jachym|miluju-te-k-zblazneni,"TOPOL, Jáchym",Miluju tě k zbláznění,special,ceska_poezie_po_1950
5|wernisch-ivan|zimohradek,"WERNISCH, Ivan",Zimohrádek,special,ceska_poezie_po_1950
5|wernisch-ivan|zapadlo-slunce-za-dnem,"WERNISCH, Ivan",Zapadlo slunce za dnem,special,ceska_poezie_po_1950
5|zahradnicek-jan|znameni-moci,"ZAHRADNÍČEK, Jan",Znamení moci,special,ceska_poezie_po_1950
